vm_type,idle,usage_10,usage_50,usage_100
r3.large.elasticsearch,1.39,3.96,8.14,11.15
r3.xlarge.elasticsearch,2.77,7.92,16.29,22.3
r3.2xlarge.elasticsearch,5.55,15.84,32.58,44.59
r3.4xlarge.elasticsearch,11.1,31.68,65.16,89.19
r3.8xlarge.elasticsearch,22.19,63.36,130.32,178.37
i3.large.elasticsearch,0.97,2.77,5.71,7.81
i3.xlarge.elasticsearch,1.94,5.55,11.41,15.62
i3.2xlarge.elasticsearch,3.89,11.1,22.82,31.24
i3.4xlarge.elasticsearch,7.77,22.19,45.64,62.47
i3.8xlarge.elasticsearch,15.55,44.38,91.28,124.95
i3.16xlarge.elasticsearch,31.09,88.76,182.57,249.9
i2.xlarge.elasticsearch,2.77,7.92,16.29,22.3
i2.2xlarge.elasticsearch,5.55,15.84,32.58,44.59
m6g.large.elasticsearch,0.54,1.49,3.53,4.77
m6g.xlarge.elasticsearch,1.09,2.98,7.05,9.55
m6g.2xlarge.elasticsearch,2.18,5.97,14.1,19.1
m6g.4xlarge.elasticsearch,4.35,11.93,28.21,38.2
m6g.8xlarge.elasticsearch,8.71,23.87,56.42,76.39
m6g.12xlarge.elasticsearch,13.06,35.8,84.63,114.59
c6g.large.elasticsearch,0.54,1.49,3.53,4.77
c6g.xlarge.elasticsearch,1.09,2.98,7.05,9.55
c6g.2xlarge.elasticsearch,2.18,5.97,14.1,19.1
c6g.4xlarge.elasticsearch,4.35,11.93,28.21,38.2
c6g.8xlarge.elasticsearch,8.71,23.87,56.42,76.39
c6g.12xlarge.elasticsearch,13.06,35.8,84.63,114.59
r6g.large.elasticsearch,0.54,1.49,3.53,4.77
r6g.xlarge.elasticsearch,1.09,2.98,7.05,9.55
r6g.2xlarge.elasticsearch,2.18,5.97,14.1,19.1
r6g.4xlarge.elasticsearch,4.35,11.93,28.21,38.2
r6g.8xlarge.elasticsearch,8.71,23.87,56.42,76.39
r6g.12xlarge.elasticsearch,13.06,35.8,84.63,114.59
r6gd.large.elasticsearch,0.54,1.49,3.53,4.77
r6gd.xlarge.elasticsearch,1.09,2.98,7.05,9.55
r6gd.2xlarge.elasticsearch,2.18,5.97,14.1,19.1
r6gd.4xlarge.elasticsearch,4.35,11.93,28.21,38.2
r6gd.8xlarge.elasticsearch,8.71,23.87,56.42,76.39
